timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-03-19,9.37000000,27.00000000,9.37000000,9.61500000,1262031.88600000,1616198399999,13867300.56073300,36092,585357.22200000,6462353.96441500,0
2021-03-20,9.60000000,10.10000000,8.48600000,8.51100000,312724.84500000,1616284799999,2880344.96716300,11753,137539.87500000,1271141.44723400,0
2021-03-21,8.52100000,9.15000000,7.65700000,8.01200000,208815.29200000,1616371199999,1701510.02043600,6224,109170.61600000,888275.12269000,0
2021-03-22,8.03100000,8.65200000,7.56700000,7.60400000,203899.07000000,1616457599999,1664435.58314900,6149,97543.29600000,796225.70456300,0
2021-03-23,7.59500000,7.68700000,6.84800000,7.09700000,199161.15500000,1616543999999,1441447.29970600,5466,96158.39800000,697515.22926700,0
2021-03-24,7.09800000,7.31700000,6.30600000,6.32000000,285976.68000000,1616630399999,1943235.83705100,7529,113786.03300000,775999.83803100,0
2021-03-25,6.31800000,6.35500000,5.68000000,6.03500000,258894.65600000,1616716799999,1542880.57296900,5374,128052.95200000,760113.31100700,0
2021-03-26,6.05200000,6.98200000,5.89600000,6.82400000,468901.74500000,1616803199999,3042640.26618500,12503,264381.35900000,1722709.48690900,0
2021-03-27,6.82600000,6.88100000,6.38700000,6.51300000,119230.39200000,1616889599999,783545.18854400,3291,57671.03600000,380108.00139700,0
2021-03-28,6.50400000,8.00000000,6.46100000,7.30900000,382814.00200000,1616975999999,2793853.22610500,8462,228595.75300000,1657127.49085800,0
2021-03-29,7.26600000,7.89300000,7.15500000,7.30800000,261623.39000000,1617062399999,1976475.98539300,5990,122899.19800000,929599.39171800,0
2021-03-30,7.32300000,8.80000000,7.17500000,8.33600000,232501.27200000,1617148799999,1841061.91433700,6225,121462.83700000,961602.56846300,0
2021-03-31,8.36300000,9.10000000,8.01100000,8.27400000,257371.30300000,1617235199999,2189100.53249900,6932,124823.32400000,1062568.51423400,0
2021-04-01,8.28300000,8.99100000,8.11000000,8.72900000,179818.04100000,1617321599999,1523297.72506400,4386,96046.53600000,819729.24648100,0
2021-04-02,8.74900000,10.93200000,8.74900000,9.58500000,517896.49900000,1617407999999,5024089.76664900,15841,278576.79300000,2694802.34122300,0
2021-04-03,9.57700000,10.16800000,8.38600000,8.38600000,222329.92700000,1617494399999,2098661.20097200,4287,102897.24900000,981605.81210500,0
2021-04-04,8.38500000,9.09300000,8.32400000,9.09300000,175318.61800000,1617580799999,1514696.85233100,2329,90854.52300000,783420.61677600,0
2021-04-05,9.09300000,10.00000000,8.50500000,8.60800000,92219.69700000,1617667199999,810373.94919900,2246,47598.47400000,417542.67310500,0
2021-04-06,8.60600000,8.67700000,8.10500000,8.22200000,108090.65200000,1617753599999,904128.53439900,1916,47668.64700000,398358.48420300,0
2021-04-07,8.23000000,8.23000000,7.20000000,7.35200000,181367.54600000,1617839999999,1387961.77532500,2024,64938.53400000,493329.09882000,0
2021-04-08,7.33500000,8.12300000,7.32900000,7.70800000,147725.09900000,1617926399999,1152409.44488500,2097,80368.64800000,624610.13167500,0
2021-04-09,7.73200000,8.11900000,7.67900000,7.78400000,343183.50500000,1618012799999,2706674.71878300,5501,156138.69600000,1233384.38338400,0
2021-04-10,7.79300000,8.04000000,7.36700000,7.50800000,690968.97900000,1618099199999,5391229.83030300,11151,362149.80400000,2827869.31037800,0
2021-04-11,7.51000000,8.04000000,7.38400000,7.99900000,777070.43500000,1618185599999,5912128.49135200,12766,389795.19800000,2966730.24088100,0
2021-04-12,8.00000000,8.96000000,7.77300000,8.05900000,233710.55100000,1618271999999,1953403.25599000,5158,113198.24500000,945909.95626100,0
2021-04-13,8.06200000,8.41500000,7.92500000,8.39100000,124439.73600000,1618358399999,1017789.24913200,3663,66233.29900000,542967.65525700,0
2021-04-14,8.37600000,8.37700000,7.80000000,8.10900000,177315.80100000,1618444799999,1445024.27309100,3786,76231.62500000,620954.18298100,0
2021-04-15,8.11800000,8.74100000,8.04300000,8.39500000,143235.17200000,1618531199999,1191508.85676500,3507,75694.75300000,628511.57134100,0
2021-04-16,8.38900000,8.40600000,7.41900000,7.50700000,141637.01300000,1618617599999,1110459.28407600,3686,51034.76600000,400825.17805300,0
2021-04-17,7.50200000,7.58400000,7.32400000,7.36100000,118595.67500000,1618703999999,885410.64358700,3160,43548.02000000,324409.44070400,0
2021-04-18,7.34000000,7.34000000,6.06000000,6.35000000,163650.42700000,1618790399999,1069462.32727200,4439,77401.61900000,503121.31878800,0
2021-04-19,6.34200000,6.68600000,5.86700000,5.95400000,114448.86500000,1618876799999,731788.76446400,3454,47478.96900000,302767.13341300,0
2021-04-20,5.93600000,6.24300000,5.61800000,6.14000000,134615.51400000,1618963199999,787355.38676200,3484,71274.73400000,418305.76668900,0
2021-04-21,6.15700000,6.65200000,5.88400000,6.14600000,149742.60000000,1619049599999,945357.49669200,4128,67578.79100000,427361.03268500,0
2021-04-22,6.13800000,6.83300000,5.85700000,5.97900000,160101.00500000,1619135999999,1018280.71607900,5028,75334.85700000,478917.67357400,0
