timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-11-11,802.0,1440.0,802.0,1311.0,2709.69745,1510444799999,3354974.2812583,3294,1912.24535,2370414.9432896,36991.69276401
2017-11-12,1334.0,2507.0,1001.0,1362.84,7877.47723,1510531199999,12508957.5498334,13771,4366.96595,7016090.2431347,39539.81266356
2017-11-13,1362.84,1500.0,1011.0,1350.0,3057.27543,1510617599999,3845905.6605229,5846,1515.5341,1942096.1746958,40225.46673264
2017-11-14,1350.0,1361.99,1181.92,1242.05,900.86865,1510703999999,1146495.2803135,1933,456.55907,588417.8691824,40319.38359489
2017-11-15,1243.01,1310.0,1157.02,1192.0,806.32168,1510790399999,987806.6061258,1658,267.96696,331672.6716819,37245.76386024
2017-11-16,1192.0,1196.92,870.0,899.35,4451.05483,1510876799999,4504454.8712234,6409,753.77344,779432.8749199,37060.04442434
2017-11-17,904.0,1209.99,852.36,1169.56,7093.63308,1510963199999,7576464.465601,9165,1868.72209,2017224.8978987,37338.51572267
2017-11-18,1178.15,1388.2,1178.15,1226.58,6102.14678,1511049599999,7718007.2760435,7875,1421.43129,1814988.6335897,37684.16141699
2017-11-19,1226.99,1254.1,1130.0,1158.6,5672.72922,1511135999999,6719331.2500875,6996,769.23549,914714.7271561,37352.35250994
2017-11-20,1159.63,1250.0,1159.63,1234.9,5027.65949,1511222399999,5985271.5894527,5484,474.69063,569784.7534819,37155.8865534
2017-11-21,1245.01,1256.0,1150.0,1173.76,3723.05286,1511308799999,4437603.3440729,4718,405.98892,485716.2115708,36928.65759506
2017-11-22,1172.37,1369.99,1172.36,1279.51,5052.42095,1511395199999,6342151.4055743,5971,1147.84795,1461498.4858761,39191.49107094
2017-11-23,1279.52,1680.0,1279.51,1680.0,5255.42073,1511481599999,7793491.2436914,6313,1549.17497,2330409.2227718,39319.71903209
2017-11-24,1678.0,1773.08,1501.0,1606.0,5982.47416,1511567999999,9834832.3416109,7090,1509.91842,2506264.1243759,39632.2673463
2017-11-25,1606.0,1640.32,1500.0,1536.15,4516.487,1511654399999,7077534.4089672,5708,693.28726,1089562.5888379,37740.47664127
2017-11-26,1543.63,1733.0,1515.74,1697.79,4835.29238,1511740799999,7628230.8644321,5573,768.66495,1238609.3500645,38637.19947833
2017-11-27,1688.07,1716.59,1533.64,1581.34,5119.12126,1511827199999,8360333.0987844,6354,1728.00233,2804396.5250434,39567.94676453
2017-11-28,1580.01,1601.74,1479.98,1479.98,3856.02935,1511913599999,5953851.8925436,4505,1811.16949,2808307.6652356,40443.49489871
2017-11-29,1488.96,1630.02,1263.07,1332.89,7023.49962,1511999999999,10433607.0892725,9494,3262.28376,4877677.7446097,40002.71302231
2017-11-30,1331.95,1422.23,1156.19,1315.79,7305.49932,1512086399999,9555223.8076612,8116,4590.7335,6022757.75187,41200.64448647
2017-12-01,1307.98,1440.74,1235.63,1424.99,2431.66016,1512172799999,3212669.7284486,4131,1241.19593,1640184.6451787,41880.56806882
2017-12-02,1424.5,1466.52,1365.09,1391.39,1258.05683,1512259199999,1777172.1406896,3320,560.14275,791425.3533273,41660.21817426
2017-12-03,1403.07,1627.44,1378.68,1521.61,2090.63933,1512345599999,3196615.7266647,5814,1117.12949,1710682.3462113,42539.26766253
2017-12-04,1518.84,1548.84,1430.32,1530.7,2600.08075,1512431999999,3885793.9542984,5274,1499.61224,2241352.2831643,43018.23894626
2017-12-05,1531.72,1588.01,1421.01,1426.02,3787.22411,1512518399999,5703044.8755384,6209,2398.07943,3616255.0179222,42536.74885673
2017-12-06,1426.02,1484.04,1288.0,1335.34,3604.36702,1512604799999,5059343.3923488,5753,2002.58346,2821527.7461242,40890.08521319
2017-12-07,1341.51,1377.27,1176.0,1223.02,4942.25067,1512691199999,6295868.4093268,7039,2375.74179,3042824.5915368,41528.25713067
2017-12-08,1223.0,1780.0,1145.1,1377.04,11698.18052,1512777599999,16616724.3599273,22199,5338.72177,7644737.0986083,45038.75183883
2017-12-09,1386.19,1482.02,1260.0,1368.1,6646.02105,1512863999999,9240389.9784444,10450,2727.96733,3806686.2474128,45484.93871282
2017-12-10,1368.1,1375.02,1085.18,1278.5,6337.71433,1512950399999,8043793.6382742,9145,2584.10898,3289560.6100932,45532.3410666
2017-12-11,1274.06,1429.8,1274.06,1382.0,4296.29309,1513036799999,5893180.0998848,7384,1728.73585,2375057.160477,45865.12902759
2017-12-12,1394.52,1600.0,1392.91,1539.87,5822.27229,1513123199999,8615570.3073273,10107,2632.96152,3901483.9687478,47883.64893836
2017-12-13,1539.88,1610.0,1361.96,1567.0,4581.52822,1513209599999,6900871.9796199,8946,2087.90152,3149303.9562504,51091.16978523
2017-12-14,1567.0,2009.0,1540.0,1926.25,6538.95191,1513295999999,11763893.3831679,12776,3283.87862,5903296.4155561,56192.91455848
2017-12-15,1931.47,1957.31,1621.69,1795.0,3684.66592,1513382399999,6371387.7162136,8241,1364.62288,2362811.30311,58844.41029408
2017-12-16,1795.0,1870.0,1732.18,1755.26,2222.79472,1513468799999,3954934.7684525,6367,872.31252,1556040.0198013,58377.96045653
2017-12-17,1755.25,1907.0,1755.25,1814.15,3211.4986,1513555199999,5856751.3952973,8046,1163.20063,2120837.7660971,59480.13430467
2017-12-18,1816.0,2329.99,1662.29,2159.98,7434.50559,1513641599999,14793315.7797704,14272,3347.98709,6787409.3608906,0.0
2017-12-19,2159.98,2998.0,1951.0,2660.37,10994.36637,1513727999999,26417613.8235385,22178,5891.33927,14091066.4093239,0.0
2017-12-20,2660.37,5389.35,2604.11,3700.02,35264.44645,1513814399999,126210482.1104099,78905,18923.07163,68395417.2665198,0.0
2017-12-21,3700.01,3700.01,2653.56,3038.98,9311.87574,1513900799999,29344436.6091376,27248,4513.70232,14192938.8014557,0.0
2017-12-22,3038.98,3145.46,1770.0,2477.46,18597.88836,1513987199999,43729319.7374185,42377,8973.19689,21143937.4304619,0.0
