timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-07-30,0.1823,0.2143,0.1689,0.1932,1363261.74,1596153599999,263738.973413,1992,514168.83,99499.156853,0
2020-07-31,0.1924,0.1972,0.1647,0.1859,428205.95,1596239999999,81009.481096,797,122556.43,23180.727272,0
2020-08-01,0.1857,0.1916,0.15,0.1872,814644.73,1596326399999,148807.936031,1163,243789.82,44884.055154,0
2020-08-02,0.1863,0.1978,0.17,0.1878,941067.81,1596412799999,174931.022814,1499,496592.25,91880.333677,0
2020-08-03,0.1864,0.2,0.1841,0.1871,668011.34,1596499199999,126849.394113,808,156330.15,29723.326419,0
2020-08-04,0.1882,0.1952,0.1847,0.1899,428413.89,1596585599999,80591.203677,925,237394.9,44771.547735,0
2020-08-05,0.1902,0.2006,0.1886,0.1974,1279680.69,1596671999999,249440.632477,2171,614206.6,119896.131798,0
2020-08-06,0.1974,0.2024,0.1942,0.1976,679608.8,1596758399999,135037.20584,1256,342879.68,68129.673452,0
2020-08-07,0.1976,0.205,0.1835,0.195,751138.99,1596844799999,146905.07891,1196,298326.6,58164.518174,0
2020-08-08,0.1937,0.2045,0.1924,0.2025,1321963.68,1596931199999,263999.637232,1733,375853.31,74621.606066,0
2020-08-09,0.2025,0.21,0.1964,0.2087,1009769.94,1597017599999,204161.896828,1709,473271.72,95849.957493,0
2020-08-10,0.2096,0.23,0.1986,0.2242,1973321.65,1597103999999,417522.626959,3283,901020.87,190092.631899,0
2020-08-11,0.2224,0.2346,0.1966,0.203,1917301.61,1597190399999,413100.023954,2823,871048.55,188065.788355,0
2020-08-12,0.2048,0.2295,0.1925,0.2244,1294165.05,1597276799999,272372.873545,1619,534480.23,113576.919511,0
2020-08-13,0.224,0.3678,0.22,0.2734,5587964.11,1597363199999,1438122.308883,9527,2455084.76,640089.344511,0
2020-08-14,0.2712,0.31,0.258,0.2969,4287858.44,1597449599999,1211478.39398,8021,1914420.16,542922.768818,0
2020-08-15,0.2969,0.3,0.27,0.2751,1896716.61,1597535999999,528653.008178,2834,887329.07,247035.387533,0
2020-08-16,0.2737,0.3287,0.2705,0.3287,1982122.46,1597622399999,591918.556342,4393,1005482.88,301511.837989,0
2020-08-17,0.3286,0.3355,0.29,0.2981,1514379.09,1597708799999,469696.993391,4279,781621.44,243401.310555,0
2020-08-18,0.2977,0.3042,0.261,0.2825,1676385.99,1597795199999,473765.18291,3018,828044.83,236266.737637,0
2020-08-19,0.2812,0.2832,0.2513,0.2552,1205687.44,1597881599999,320123.853111,2429,535938.65,141688.883649,0
2020-08-20,0.2564,0.2894,0.2543,0.2892,603971.74,1597967999999,164127.555446,1495,324091.35,87908.300254,0
2020-08-21,0.2896,0.297,0.2516,0.2626,1313870.09,1598054399999,367701.059052,2817,633858.94,176830.151718,0
2020-08-22,0.2626,0.2899,0.25,0.2819,747054.65,1598140799999,201799.277688,1940,385262.02,103721.933767,0
2020-08-23,0.2818,0.4936,0.2794,0.3953,15172068.04,1598227199999,5607885.481372,26612,7229340.83,2676426.598316,0
2020-08-24,0.3959,0.4683,0.3602,0.3831,13127141.44,1598313599999,5401655.944467,23027,6332880.77,2612089.056613,0
2020-08-25,0.3831,0.3956,0.3241,0.3475,4466312.16,1598399999999,1627653.038892,9728,2019347.05,736439.490448,0
2020-08-26,0.3475,0.5005,0.3305,0.4732,9463616.28,1598486399999,4031827.944857,20177,4711395.53,2020774.476184,0
2020-08-27,0.4711,0.5295,0.4162,0.448,14756661.59,1598572799999,6978368.8901,31466,7108849.85,3373166.383772,0
