timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-08-19,0.51010000,0.72000000,0.49230000,0.55260000,3386086.32000000,1597881599999,1869066.85186400,10767,1365478.89000000,754782.05890100,0
2020-08-20,0.54730000,0.64000000,0.54700000,0.61140000,4229768.10000000,1597967999999,2536817.50803100,14290,1873751.56000000,1124921.23848500,0
2020-08-21,0.61140000,0.62840000,0.51050000,0.52050000,2333052.73000000,1598054399999,1313620.85843400,8325,1033543.61000000,582636.21891800,0
2020-08-22,0.51760000,0.54760000,0.42500000,0.53310000,2458497.96000000,1598140799999,1239348.11548700,8872,1128941.91000000,568758.93908000,0
2020-08-23,0.53630000,0.60870000,0.52300000,0.59450000,2265337.55000000,1598227199999,1292057.79674300,8856,1104854.64000000,632109.11922400,0
2020-08-24,0.59450000,0.61710000,0.54190000,0.55480000,1876521.80000000,1598313599999,1071330.17237400,7906,809660.14000000,464079.02495400,0
2020-08-25,0.55480000,0.57770000,0.47800000,0.50400000,2360738.60000000,1598399999999,1236047.95332500,8215,1055348.59000000,556470.16623000,0
2020-08-26,0.50580000,0.59500000,0.47770000,0.55510000,3396164.55000000,1598486399999,1806632.70459500,10607,1725306.71000000,925031.83113200,0
2020-08-27,0.55600000,0.60000000,0.49040000,0.51200000,3800845.13000000,1598572799999,2075237.16204200,11273,1489936.58000000,819549.38098200,0
2020-08-28,0.51470000,0.59010000,0.51040000,0.54490000,3006960.35000000,1598659199999,1645704.10824800,7725,1503118.92000000,824345.88034800,0
2020-08-29,0.54500000,0.63000000,0.54120000,0.62200000,4164016.48000000,1598745599999,2437141.66783800,11705,1896871.92000000,1113489.41973800,0
2020-08-30,0.62350000,0.67010000,0.60010000,0.63330000,5697472.90000000,1598831999999,3613149.86046700,16889,2632302.84000000,1673502.31967500,0
2020-08-31,0.63320000,0.63560000,0.55810000,0.56950000,4198470.60000000,1598918399999,2438364.34384700,12337,1857696.40000000,1077005.66022600,0
2020-09-01,0.56980000,0.56980000,0.52010000,0.53380000,3846917.96000000,1599004799999,2090420.10903800,12671,1618456.26000000,880329.32052100,0
2020-09-02,0.53380000,0.55990000,0.46990000,0.52120000,3494046.07000000,1599091199999,1809301.07916400,12078,1493090.45000000,775509.26178500,0
2020-09-03,0.52330000,0.53460000,0.41000000,0.42640000,3863833.94000000,1599177599999,1849020.40501500,11849,1884078.45000000,907089.56100100,0
2020-09-04,0.42890000,0.45820000,0.35000000,0.40370000,4865052.72000000,1599263999999,1952433.88038800,9169,2373835.86000000,956445.12428900,0
2020-09-05,0.40370000,0.44000000,0.27690000,0.32710000,4467148.32000000,1599350399999,1513583.75063200,9232,2046308.04000000,693150.25929400,0
2020-09-06,0.32500000,0.45000000,0.28500000,0.39330000,5857174.70000000,1599436799999,2158853.94368400,13882,2867164.57000000,1056780.22555100,0
2020-09-07,0.39330000,0.42650000,0.32180000,0.38480000,6316847.31000000,1599523199999,2335560.22514000,10994,2908283.91000000,1081892.03370500,0
2020-09-08,0.38480000,0.39250000,0.32930000,0.34840000,4225117.85000000,1599609599999,1492725.69030200,6650,1929533.39000000,681515.78543700,0
