timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-02-09,158.19000000,298.00000000,158.19000000,163.02000000,14919.75000000,1612915199999,2434898.56630000,1296,4687.11000000,766301.42360000,0
2021-02-10,163.32000000,176.25000000,152.10000000,167.10000000,29999.48000000,1613001599999,4992359.71220000,2779,13123.48000000,2179041.74460000,0
2021-02-11,168.08000000,182.64000000,165.66000000,175.53000000,34353.58000000,1613087999999,6049617.57340000,2973,15609.61000000,2759117.05320000,0
2021-02-12,175.84000000,209.55000000,172.50000000,202.43000000,38355.86000000,1613174399999,7477379.13610000,3433,17912.62000000,3477574.92880000,0
2021-02-13,202.90000000,213.41000000,194.62000000,198.00000000,25492.58000000,1613260799999,5183706.99530000,2703,9496.42000000,1935069.68630000,0
2021-02-14,198.54000000,208.10000000,190.00000000,193.00000000,18252.99000000,1613347199999,3611159.81600000,2048,8350.11000000,1652621.84670000,0
2021-02-15,194.21000000,209.00000000,160.00000000,196.68000000,33230.05000000,1613433599999,6493375.57840000,2661,16256.06000000,3159298.98410000,0
2021-02-16,195.78000000,218.06000000,190.19000000,212.01000000,37501.79000000,1613519999999,7827870.18890000,4052,16690.97000000,3500737.14080000,0
2021-02-17,212.01000000,226.50000000,209.80000000,223.51000000,27144.85000000,1613606399999,5904740.76400000,4042,13253.14000000,2885894.68750000,0
2021-02-18,224.25000000,227.04000000,213.54000000,217.38000000,25063.84000000,1613692799999,5463591.80810000,4064,9108.16000000,1989654.67530000,0
2021-02-19,217.82000000,245.48000000,206.99000000,243.41000000,82034.54000000,1613779199999,18830732.84660000,9428,39839.21000000,9182250.86760000,0
2021-02-20,243.67000000,296.99000000,243.67000000,276.82000000,133759.42000000,1613865599999,36929277.11020000,16249,63528.57000000,17534973.24430000,0
2021-02-21,275.00000000,286.03000000,241.00000000,278.19000000,60459.93000000,1613951999999,16684895.24570000,7719,28987.05000000,7997027.14880000,0
2021-02-22,278.02000000,278.31000000,223.00000000,267.24000000,66651.75000000,1614038399999,17326545.27670000,9053,30734.01000000,8038021.02870000,0
2021-02-23,267.70000000,269.01000000,193.28000000,247.01000000,108990.15000000,1614124799999,25549624.48030000,12661,48906.74000000,11514030.09660000,0
2021-02-24,248.00000000,269.49000000,231.70000000,244.00000000,60041.95000000,1614211199999,15064720.91760000,7734,22469.07000000,5666913.63350000,0
2021-02-25,244.48000000,255.00000000,230.00000000,231.78000000,54485.88000000,1614297599999,13294142.81410000,4888,25338.73000000,6242210.00750000,0
2021-02-26,232.02000000,248.68000000,209.65000000,233.96000000,67268.59000000,1614383999999,15454538.30900000,5674,29889.18000000,6914422.04140000,0
2021-02-27,235.44000000,265.81000000,235.44000000,251.00000000,84753.99000000,1614470399999,21614338.55320000,7652,41136.96000000,10505678.70330000,0
2021-02-28,251.00000000,259.67000000,227.30000000,253.48000000,63203.62000000,1614556799999,15335738.94330000,5953,30973.35000000,7515939.68530000,0
2021-03-01,253.82000000,260.00000000,246.97000000,259.01000000,40897.60000000,1614643199999,10416279.71440000,4705,21304.65000000,5437905.47930000,0
2021-03-02,259.16000000,276.39000000,255.50000000,267.07000000,63144.56000000,1614729599999,16728067.07140000,6069,31550.95000000,8371419.41220000,0
2021-03-03,268.00000000,281.90000000,267.72000000,274.66000000,34395.78000000,1614815999999,9482261.20150000,4047,18556.86000000,5118412.56610000,0
2021-03-04,275.89000000,283.94000000,260.50000000,266.41000000,37178.97000000,1614902399999,10050603.05710000,3900,19124.74000000,5170846.27420000,0
2021-03-05,266.72000000,266.72000000,240.89000000,254.68000000,44373.35000000,1614988799999,11171117.30520000,6585,20013.62000000,5048601.02950000,0
2021-03-06,254.90000000,258.99000000,245.00000000,252.50000000,24399.80000000,1615075199999,6148076.99180000,3959,10350.41000000,2615398.04020000,0
2021-03-07,252.73000000,262.58000000,251.61000000,261.05000000,26745.26000000,1615161599999,6892371.89400000,4655,13531.12000000,3491925.00660000,0
2021-03-08,260.96000000,264.98000000,252.10000000,264.98000000,39318.70000000,1615247999999,10182177.21570000,6187,22347.99000000,5801111.34650000,0
