timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-12-10,10.00000000,11.07200000,9.41800000,10.41400000,10343.71000000,1607644799999,107421.14676000,697,5034.80000000,52623.74473000,0
2020-12-11,10.41400000,13.37600000,10.41400000,12.86700000,38537.14000000,1607731199999,478615.21027000,2044,19796.77000000,245308.27410000,0
2020-12-12,12.84100000,12.84100000,9.67600000,10.41300000,33532.52000000,1607817599999,361686.37814000,1779,16314.87000000,176027.41449000,0
2020-12-13,10.41300000,10.50400000,7.80800000,7.90000000,130709.94000000,1607903999999,1124919.63038000,5685,57314.44000000,488959.55181000,0
2020-12-14,7.90000000,9.17000000,6.40900000,6.63000000,162006.27000000,1607990399999,1290059.21106000,6636,64478.72000000,515182.11179000,0
2020-12-15,6.63000000,6.63000000,4.88100000,5.23000000,366548.83000000,1608076799999,2145350.64135000,11697,179344.89000000,1054237.71207000,0
2020-12-16,5.24100000,5.76500000,3.80100000,4.24900000,588531.49000000,1608163199999,2742454.93336000,12762,304344.19000000,1433823.06217000,0
2020-12-17,4.21800000,5.17200000,3.76700000,4.94500000,257888.74000000,1608249599999,1135580.75862000,6630,132884.65000000,588359.36056000,0
2020-12-18,5.00000000,5.32700000,4.11700000,4.28800000,166855.90000000,1608335999999,774981.93999000,5734,86866.50000000,403032.51147000,0
2020-12-19,4.27600000,4.78200000,3.36600000,3.98400000,251135.78000000,1608422399999,951272.64995000,6418,135362.34000000,516164.98741000,0
2020-12-20,3.98900000,4.68600000,3.75700000,4.54200000,149869.61000000,1608508799999,627738.57840000,4820,85779.10000000,360560.63364000,0
2020-12-21,4.53900000,5.54700000,4.24000000,5.27000000,230391.72000000,1608595199999,1120808.44420000,5948,122395.74000000,594692.02917000,0
2020-12-22,5.20000000,6.37200000,3.82400000,3.98000000,206631.22000000,1608681599999,1042386.83759000,9107,110667.43000000,571337.36991000,0
2020-12-23,3.97900000,15.10100000,0.97000000,2.89000000,657745.37000000,1608767999999,2493835.36757000,13324,357809.36000000,1351372.05414000,0
2020-12-24,2.88700000,3.52200000,1.72000000,1.76600000,906103.95000000,1608854399999,2213391.34168000,7366,474148.29000000,1168324.94284000,0
2020-12-25,1.73700000,2.01900000,1.63100000,1.78900000,705964.79000000,1608940799999,1273085.48942000,4889,374381.32000000,675247.55690000,0
2020-12-26,1.78500000,2.10400000,1.77100000,1.99000000,370084.34000000,1609027199999,718442.16388000,4408,200611.79000000,393041.12357000,0
2020-12-27,1.98800000,2.13700000,1.44200000,1.61000000,619674.79000000,1609113599999,1055524.93603000,3890,280739.17000000,487759.25154000,0
2020-12-28,1.59800000,1.63900000,1.23400000,1.54100000,835442.02000000,1609199999999,1161689.27251000,4902,476351.12000000,665119.33943000,0
2020-12-29,1.54300000,1.91500000,1.45800000,1.65800000,603948.41000000,1609286399999,1033885.60373000,4003,337864.22000000,574200.59562000,0
