timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-09-10,10.00000000,10.96500000,9.50700000,10.63100000,25805.24000000,1599782399999,267083.90374000,378,13774.70000000,143276.39303000,0
2020-09-11,10.56100000,11.60900000,9.43900000,10.33800000,16856.91000000,1599868799999,169906.70928000,560,9221.81000000,93040.33560000,0
2020-09-12,10.16000000,11.15300000,10.16000000,10.69000000,4919.43000000,1599955199999,52506.54037000,239,3620.69000000,38621.99864000,0
2020-09-13,10.72100000,13.11100000,10.61500000,11.84900000,13574.43000000,1600041599999,161523.26809000,336,9207.32000000,109703.96705000,0
2020-09-14,11.84600000,12.54900000,10.88400000,12.08000000,12059.97000000,1600127999999,140996.00504000,449,5386.59000000,63323.68849000,0
2020-09-15,12.00600000,14.85200000,11.96100000,14.54400000,36809.83000000,1600214399999,505728.21794000,596,17992.89000000,241702.66456000,0
2020-09-16,14.71800000,16.62000000,11.81700000,15.98000000,134631.43000000,1600300799999,1997678.80357000,1609,97585.96000000,1449857.22369000,0
2020-09-17,16.04600000,16.04600000,12.26900000,12.77400000,19493.30000000,1600387199999,274890.28414000,543,9975.74000000,139763.23371000,0
2020-09-18,12.69600000,13.01800000,10.70000000,11.67000000,29076.06000000,1600473599999,334397.65567000,971,15180.10000000,174666.33500000,0
2020-09-19,11.55400000,13.37500000,11.55400000,13.14700000,13366.50000000,1600559999999,169184.29280000,530,8069.48000000,102106.50527000,0
2020-09-20,13.27300000,14.66200000,13.25100000,14.10400000,6506.42000000,1600646399999,91192.95443000,328,2492.10000000,35212.14838000,0
2020-09-21,14.18500000,16.97400000,13.41400000,16.65500000,18342.64000000,1600732799999,281313.86920000,565,10360.52000000,157610.58779000,0
2020-09-22,16.57200000,17.04300000,15.75600000,16.27000000,6160.51000000,1600819199999,100190.51066000,254,1952.86000000,31527.76541000,0
2020-09-23,16.30500000,16.80700000,14.74700000,16.67000000,14064.73000000,1600905599999,225021.24037000,334,8673.86000000,138478.50163000,0
2020-09-24,16.77700000,17.00000000,14.40900000,14.40900000,6375.06000000,1600991999999,102180.48134000,164,1351.24000000,21654.64219000,0
2020-09-25,14.51300000,15.44100000,12.98400000,13.46800000,2154.75000000,1601078399999,30973.37452000,113,1327.41000000,19217.14373000,0
2020-09-26,12.87000000,13.47800000,10.82600000,13.24400000,8461.66000000,1601164799999,103305.48264000,258,4546.74000000,55895.15348000,0
2020-09-27,13.42400000,14.91000000,12.62300000,14.32000000,3194.12000000,1601251199999,45225.91085000,193,787.95000000,11166.42261000,0
2020-09-28,13.87000000,14.78600000,13.40500000,14.60500000,6225.14000000,1601337599999,89526.05976000,176,4769.43000000,69469.19593000,0
2020-09-29,14.64800000,15.62700000,14.32100000,14.56400000,7648.49000000,1601423999999,111017.21014000,328,5332.97000000,76938.88550000,0
2020-09-30,14.60000000,15.21500000,14.05400000,14.59400000,3719.48000000,1601510399999,54208.64381000,141,1556.65000000,22968.61205000,0
2020-10-01,14.52700000,16.30000000,13.90600000,15.11600000,8046.78000000,1601596799999,123078.53373000,143,3859.80000000,60071.60939000,0
2020-10-02,15.49700000,17.65900000,14.80100000,15.10500000,5682.87000000,1601683199999,93455.21071000,261,2492.45000000,40632.29683000,0
2020-10-03,15.08900000,15.20000000,11.95300000,13.23100000,62419.53000000,1601769599999,807993.39950000,1386,28782.39000000,370846.62993000,0
