timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-03-16,1272.00000000,6450.00000000,1272.00000000,3054.36000000,32460.28218000,1615939199999,108868142.95798190,318228,16417.26616000,55987369.05306790,0
2021-03-17,3050.00000000,3267.01000000,2510.00000000,2687.14000000,8540.16543000,1616025599999,24355772.88994190,86252,4179.84580000,11958733.14797440,0
2021-03-18,2688.44000000,2724.99000000,2244.89000000,2430.60000000,4643.38838000,1616111999999,11356175.22207650,42467,2108.74712000,5175421.59661350,0
2021-03-19,2416.24000000,2430.61000000,1826.29000000,2030.61000000,3688.32564000,1616198399999,7777003.16678400,26571,1686.45839000,3555788.95280920,0
2021-03-20,2030.01000000,2345.51000000,1997.58000000,2056.02000000,2330.04510000,1616284799999,5059240.24078380,19126,1184.29567000,2571920.17585980,0
2021-03-21,2056.02000000,2177.99000000,1900.00000000,2156.40000000,1370.31470000,1616371199999,2770612.70715790,11366,639.72995000,1296652.68433550,0
2021-03-22,2140.09000000,2170.00000000,1802.01000000,1847.47000000,2088.89770000,1616457599999,4095383.99284090,14399,943.36384000,1856059.12137730,0
2021-03-23,1850.46000000,1875.00000000,1663.14000000,1768.27000000,1568.28810000,1616543999999,2766546.67456510,9933,777.47936000,1372229.61534180,0
2021-03-24,1746.54000000,1925.00000000,1599.99000000,1663.02000000,1432.05949000,1616630399999,2506272.12996960,8636,696.98557000,1222713.93591980,0
2021-03-25,1663.03000000,1985.00000000,1571.43000000,1868.01000000,3083.42532000,1616716799999,5533478.95317290,21547,1643.89199000,2972642.25187490,0
2021-03-26,1870.01000000,2099.00000000,1870.00000000,1942.42000000,1565.80984000,1616803199999,3079527.13786070,13530,851.40625000,1677724.74309610,0
2021-03-27,1942.41000000,2300.49000000,1908.81000000,2261.85000000,1872.39668000,1616889599999,3984743.48418520,13835,1029.48635000,2201087.69830000,0
2021-03-28,2261.84000000,2450.00000000,2186.29000000,2319.00000000,1880.43146000,1616975999999,4376854.85654560,15079,1061.20824000,2480681.02180870,0
2021-03-29,2319.00000000,2327.94000000,2164.65000000,2225.00000000,1011.73772000,1617062399999,2244682.18191920,8171,474.60023000,1053492.93942030,0
2021-03-30,2224.50000000,2330.00000000,2140.00000000,2239.35000000,1053.34184000,1617148799999,2366682.01010490,8707,587.63763000,1325043.16166010,0
2021-03-31,2235.77000000,2274.94000000,1989.04000000,2063.94000000,1488.47658000,1617235199999,3156701.69600150,12822,717.04729000,1526070.46961780,0
2021-04-01,2074.56000000,2165.00000000,2009.80000000,2103.95000000,928.33017000,1617321599999,1935060.48858830,7514,610.29922000,1273945.08739720,0
2021-04-02,2103.91000000,2195.00000000,1873.87000000,1934.11000000,1295.64285000,1617407999999,2627977.67807770,12195,592.78245000,1216644.30044930,0
2021-04-03,1934.11000000,2071.36000000,1715.21000000,1786.06000000,994.46103000,1617494399999,1892445.37751280,9546,481.89032000,925704.62169390,0
2021-04-04,1795.12000000,1977.98000000,1781.04000000,1830.40000000,842.08262000,1617580799999,1574136.64244840,6915,426.25372000,798660.65233260,0
2021-04-05,1830.03000000,2100.00000000,1750.01000000,1888.66000000,1184.12876000,1617667199999,2219189.01025440,9793,613.21579000,1156935.16244210,0
2021-04-06,1900.18000000,1999.99000000,1800.00000000,1855.11000000,965.67137000,1617753599999,1863384.25898490,8956,465.41019000,902551.43667530,0
2021-04-07,1855.12000000,1927.60000000,1750.00000000,1870.00000000,751.17067000,1617839999999,1387213.16282550,6866,376.84649000,699091.63244760,0
2021-04-08,1869.00000000,2018.10000000,1851.00000000,1994.68000000,1023.19261000,1617926399999,1981246.68654550,7175,661.83597000,1287155.97220110,0
2021-04-09,1994.71000000,2009.20000000,1898.84000000,1975.00000000,882.70617000,1618012799999,1727226.89023760,6041,500.82668000,982739.14182360,0
2021-04-10,1975.00000000,2090.00000000,1928.99000000,1962.00000000,788.35312000,1618099199999,1587474.30565110,5859,473.96582000,956824.48692990,0
2021-04-11,1960.08000000,2000.00000000,1855.78000000,1971.82000000,908.12577000,1618185599999,1760483.87873030,5633,514.18162000,1000884.86029980,0
2021-04-12,1972.19000000,2153.84000000,1927.00000000,2149.92000000,1753.73604000,1618271999999,3608898.44287290,11129,1053.75922000,2177989.72891350,0
2021-04-13,2149.92000000,2499.00000000,1980.00000000,2249.97000000,2236.48018000,1618358399999,5000004.35571620,13854,1302.21100000,2937662.33873130,0
2021-04-14,2249.97000000,2500.00000000,2214.00000000,2488.60000000,1952.58951000,1618444799999,4631125.42620850,15218,1070.23756000,2544075.87757900,0
2021-04-15,2488.98000000,2600.00000000,2300.00000000,2600.00000000,1296.74153000,1618531199999,3196111.95655320,8487,809.69346000,2004356.47573510,0
2021-04-16,2595.00000000,2618.00000000,2168.50000000,2188.04000000,1209.65961000,1618617599999,2893941.27445570,7461,572.61838000,1371753.44434960,0
2021-04-17,2188.09000000,2333.00000000,2082.04000000,2096.90000000,1210.44848000,1618703999999,2676056.53234010,8841,601.73294000,1339567.30173820,0
2021-04-18,2096.61000000,2109.24000000,1200.01000000,1869.75000000,1353.31869000,1618790399999,2464254.80907230,9788,629.99891000,1150902.86245400,0
2021-04-19,1869.75000000,1992.49000000,1700.99000000,1855.65000000,800.93530000,1618876799999,1494246.26037380,6038,407.70912000,762352.17443240,0
2021-04-20,1836.31000000,1950.99000000,1600.00000000,1894.93000000,795.31383000,1618963199999,1447679.81100650,5235,451.64720000,826609.60350920,0
2021-04-21,1895.71000000,1950.99000000,1378.84000000,1536.00000000,1386.40411000,1619049599999,2367863.62298920,9050,591.92268000,1022101.31802420,0
2021-04-22,1521.10000000,1707.69000000,1469.96000000,1481.85000000,1509.84126000,1619135999999,2402847.65379080,8128,692.90901000,1104659.27932090,0
2021-04-23,1481.85000000,1599.57000000,1057.60000000,1430.00000000,2368.84755000,1619222399999,3048775.87795560,8190,1025.09906000,1326201.22182030,0
2021-04-24,1430.03000000,1451.30000000,1300.00000000,1369.64000000,615.23951000,1619308799999,846174.91174940,3707,299.42492000,412141.42449270,0
2021-04-25,1369.56000000,1514.26000000,1200.00000000,1244.95000000,1292.32596000,1619395199999,1722377.57266600,6507,581.71187000,776731.35688290,0
2021-04-26,1260.11000000,1469.49000000,1242.60000000,1322.91000000,1365.65078000,1619481599999,1869615.76327980,6909,705.42874000,967594.97296060,0
2021-04-27,1316.74000000,1500.00000000,1250.00000000,1347.71000000,2007.88083000,1619567999999,2786975.84453920,9795,845.68451000,1180418.07182200,0
2021-04-28,1347.71000000,1469.40000000,1253.52000000,1401.93000000,2104.22039000,1619654399999,2854854.87532260,9422,895.55275000,1219947.37361870,0
2021-04-29,1401.95000000,1907.48000000,1327.99000000,1765.10000000,7948.12930000,1619740799999,13250381.19820420,35297,3960.66013000,6645427.47084830,0
2021-04-30,1765.10000000,1898.00000000,1630.00000000,1771.55000000,3311.31469000,1619827199999,5828955.86619050,18244,1806.65536000,3184234.04468410,0
2021-05-01,1777.75000000,1777.75000000,1585.18000000,1706.14000000,2267.20543000,1619913599999,3764963.19707140,11879,1096.84991000,1825965.82536380,0
2021-05-02,1700.25000000,1736.99000000,1606.78000000,1720.00000000,1731.14311000,1619999999999,2916053.36689960,8756,722.84957000,1218850.18031480,0
