timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-08-21,0.0078,0.0079,0.002125,0.002253,3433151062.0,1566431999999,8445818.50832,20528,1674575603.0,4116741.441586,0
2019-08-22,0.002253,0.002307,0.001851,0.001938,1441075485.0,1566518399999,2949215.258277,9358,553572632.0,1129666.110552,0
2019-08-23,0.001937,0.00215,0.001906,0.00201,777459811.0,1566604799999,1576938.442609,5528,343469542.0,698502.887498,0
2019-08-24,0.002013,0.002021,0.00171,0.001821,766667721.0,1566691199999,1404190.1027,7001,289364509.0,527430.807082,0
2019-08-25,0.001826,0.002049,0.001808,0.001954,642031382.0,1566777599999,1240008.006158,5286,293768090.0,568004.895163,0
2019-08-26,0.001934,0.002036,0.001801,0.001872,475195921.0,1566863999999,908013.845776,5316,205689061.0,395080.471285,0
2019-08-27,0.001872,0.001894,0.00172,0.001763,277436345.0,1566950399999,493622.07776,2788,102916029.0,184180.314046,0
2019-08-28,0.001761,0.001805,0.001477,0.001518,401926370.0,1567036799999,685907.31058,3040,189964850.0,328242.3428,0
2019-08-29,0.001516,0.001518,0.001365,0.001383,519929094.0,1567123199999,754183.076196,3887,235625827.0,344470.239044,0
2019-08-30,0.001383,0.00163,0.00135,0.001543,653430404.0,1567209599999,979317.881162,3965,464748209.0,694014.491205,0
2019-08-31,0.001532,0.001543,0.00141,0.001439,381262566.0,1567295999999,560922.150713,2060,278879383.0,411657.546212,0
2019-09-01,0.001438,0.001529,0.001381,0.001451,150260813.0,1567382399999,217739.314473,1584,80890602.0,117621.018662,0
2019-09-02,0.001451,0.001507,0.001404,0.001455,387279382.0,1567468799999,565709.036475,2183,246176497.0,360626.807888,0
2019-09-03,0.001459,0.001526,0.00139,0.00142,383115103.0,1567555199999,562862.779065,2134,261051334.0,386689.40165,0
2019-09-04,0.00142,0.001428,0.001327,0.001366,331566117.0,1567641599999,455054.475708,2201,167437086.0,230391.52929,0
2019-09-05,0.001357,0.001382,0.0013,0.001324,416519090.0,1567727999999,563132.089426,1886,289962667.0,394156.913289,0
2019-09-06,0.001324,0.00135,0.001282,0.001317,333101300.0,1567814399999,442185.769198,2215,245586607.0,327596.784695,0
2019-09-07,0.00132,0.00145,0.001319,0.001404,483132141.0,1567900799999,670715.8785,1812,373348837.0,516941.11829,0
2019-09-08,0.00141,0.001443,0.001308,0.001335,182646019.0,1567987199999,249599.609985,1309,57856712.0,79281.944925,0
2019-09-09,0.001353,0.001417,0.001302,0.00136,481460094.0,1568073599999,656065.419992,1931,369157333.0,504237.26055,0
2019-09-10,0.00136,0.001365,0.001292,0.001293,340393134.0,1568159999999,455913.964376,1088,269429364.0,362353.304711,0
2019-09-11,0.001295,0.001328,0.0012,0.001221,568817640.0,1568246399999,738831.752099,2625,481670938.0,627348.302523,0
2019-09-12,0.001221,0.00129,0.001213,0.001271,269863724.0,1568332799999,338703.701253,675,227079917.0,285067.100634,0
2019-09-13,0.001271,0.001283,0.001216,0.001242,386028816.0,1568419199999,488072.960969,654,318908095.0,404882.088623,0
2019-09-14,0.001242,0.001269,0.001223,0.001223,292234848.0,1568505599999,363170.386459,508,247127373.0,307348.721349,0
2019-09-15,0.001225,0.001291,0.001205,0.001263,304834863.0,1568591999999,377498.179422,709,264924461.0,328085.433363,0
2019-09-16,0.001266,0.001298,0.00122,0.001253,315715641.0,1568678399999,401299.456613,1106,279265391.0,355519.651231,0
2019-09-17,0.001253,0.001257,0.001203,0.001217,432667474.0,1568764799999,533329.523973,2462,348615673.0,430205.104386,0
2019-09-18,0.001218,0.001292,0.001211,0.001282,453478949.0,1568851199999,569095.195308,2465,306028293.0,384870.922036,0
2019-09-19,0.00128,0.00128,0.001161,0.001217,419315357.0,1568937599999,499693.237441,2013,269059437.0,319773.25988,0
2019-09-20,0.001222,0.001237,0.001202,0.001236,386007968.0,1569023999999,468486.644727,2132,345797903.0,419642.733192,0
2019-09-21,0.001235,0.001235,0.001169,0.001209,635483180.0,1569110399999,764964.597741,3202,587768054.0,708099.711878,0
2019-09-22,0.001216,0.001219,0.001147,0.00115,277110342.0,1569196799999,323405.845137,1866,203133269.0,236390.848575,0
2019-09-23,0.00115,0.001157,0.001069,0.001085,65842419.0,1569283199999,74218.476059,1108,27190322.0,30744.284768,0
2019-09-24,0.001088,0.001105,0.0008,0.00085,407984275.0,1569369599999,409550.698057,2137,278038099.0,285007.386907,0
2019-09-25,0.000849,0.001003,0.000814,0.000849,432951294.0,1569455999999,364006.857896,2489,328967236.0,275353.187823,0
2019-09-26,0.00086,0.000927,0.000763,0.000806,624027769.0,1569542399999,542479.960639,3124,548977220.0,480456.673676,0
2019-09-27,0.000812,0.000818,0.000777,0.000814,452183989.0,1569628799999,360079.379193,2544,428600974.0,341418.008405,0
2019-09-28,0.000814,0.000834,0.000779,0.000799,407231604.0,1569715199999,329465.880585,2234,371631571.0,300717.810234,0
