timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-10-27,0.77000000,14.00000000,0.77000000,1.35780000,1321459.48000000,1603843199999,2142303.67785900,10594,465250.17000000,736319.16899900,0
2020-10-28,1.35100000,1.39000000,0.88200000,1.01000000,800100.86000000,1603929599999,913228.01513600,5235,306530.30000000,350967.60903600,0
2020-10-29,0.98430000,1.14210000,0.77010000,0.98330000,232849.94000000,1604015999999,214569.09328000,1800,83918.99000000,77990.07961900,0
2020-10-30,0.96190000,1.17000000,0.80300000,0.88000000,104915.66000000,1604102399999,93890.56763500,1142,46344.53000000,41695.11717000,0
2020-10-31,0.87000000,0.95000000,0.83000000,0.86200000,97110.33000000,1604188799999,86007.34096600,3733,42500.60000000,37810.66169400,0
2020-11-01,0.86020000,0.89500000,0.77840000,0.82880000,131828.60000000,1604275199999,109893.22382100,1889,59671.66000000,50032.92949500,0
2020-11-02,0.83000000,0.85910000,0.77100000,0.85120000,104354.43000000,1604361599999,84809.69643200,944,49168.26000000,40374.21915700,0
2020-11-03,0.84210000,0.88870000,0.68730000,0.76660000,258618.82000000,1604447999999,199095.30406500,1710,108608.61000000,82892.66297800,0
2020-11-04,0.75550000,0.77210000,0.70590000,0.75130000,362032.09000000,1604534399999,270478.54804100,4778,180485.07000000,135007.28357700,0
2020-11-05,0.75140000,0.77500000,0.68700000,0.75980000,276708.64000000,1604620799999,207850.42068100,5747,136306.07000000,102493.54431200,0
2020-11-06,0.75980000,0.83010000,0.71500000,0.78000000,230950.94000000,1604707199999,176884.99604200,5090,104846.65000000,80384.43847500,0
2020-11-07,0.79360000,1.11990000,0.72020000,0.79190000,294430.83000000,1604793599999,236483.22192900,6121,148545.92000000,119818.08334400,0
2020-11-08,0.79190000,0.89660000,0.76290000,0.83580000,327009.34000000,1604879999999,268751.70846800,6546,177684.47000000,146526.70861400,0
2020-11-09,0.83580000,0.96300000,0.78860000,0.89640000,296791.73000000,1604966399999,259676.06546900,3737,170598.83000000,150608.24517700,0
2020-11-10,0.89650000,0.94970000,0.86470000,0.92580000,250485.11000000,1605052799999,228073.36178900,6147,117631.64000000,107275.30877200,0
2020-11-11,0.92580000,0.95000000,0.88260000,0.90620000,238957.70000000,1605139199999,217416.43384900,5987,109761.87000000,100005.87248000,0
2020-11-12,0.90620000,0.98130000,0.88300000,0.92660000,243116.70000000,1605225599999,225193.48705900,6707,111567.60000000,103467.19447300,0
2020-11-13,0.92660000,1.04480000,0.90200000,1.04160000,291762.66000000,1605311999999,288741.85314200,7077,138393.14000000,136902.72872800,0
2020-11-14,1.04160000,1.07910000,0.94500000,1.04950000,292709.85000000,1605398399999,297020.29249800,7697,138489.58000000,140954.83775300,0
2020-11-15,1.04820000,1.30800000,1.00890000,1.21540000,295564.15000000,1605484799999,326125.04676500,8713,152418.86000000,168589.43079100,0
2020-11-16,1.21530000,1.34440000,1.09810000,1.22070000,318913.97000000,1605571199999,390365.68659300,6909,143005.88000000,175470.27799500,0
2020-11-17,1.22060000,1.26870000,1.08900000,1.16960000,278205.38000000,1605657599999,327140.85218400,6701,128559.81000000,151696.56793700,0
2020-11-18,1.16960000,1.18120000,0.96870000,1.14850000,335335.92000000,1605743999999,370006.25610700,8191,151443.21000000,167249.13402200,0
2020-11-19,1.14850000,1.35290000,1.05200000,1.15930000,396789.96000000,1605830399999,467767.72049300,7825,145560.93000000,171971.74666100,0
2020-11-20,1.15940000,1.42170000,1.12700000,1.36460000,333372.16000000,1605916799999,427401.68270100,8248,128670.52000000,164224.41957900,0
2020-11-21,1.36440000,1.47990000,1.23120000,1.35360000,392745.46000000,1606003199999,530045.05331600,9610,124586.71000000,167391.59031900,0
2020-11-22,1.35360000,1.38830000,1.09240000,1.16500000,310458.25000000,1606089599999,379584.12779900,8273,105982.44000000,129040.10897500,0
2020-11-23,1.16500000,1.25510000,1.13580000,1.19380000,264393.08000000,1606175999999,313666.05987800,6233,125279.29000000,148744.10829100,0
2020-11-24,1.19390000,1.22650000,1.04550000,1.12450000,276377.77000000,1606262399999,314067.39014700,6664,140277.85000000,159411.53029100,0
2020-11-25,1.12450000,1.19250000,1.08170000,1.13120000,233566.73000000,1606348799999,266593.65400900,6020,127639.14000000,145773.30645700,0
2020-11-26,1.13110000,1.14890000,0.91000000,1.05760000,218141.15000000,1606435199999,220615.63478700,5807,116441.77000000,118294.27579600,0
2020-11-27,1.05730000,1.09600000,0.96990000,1.00610000,221471.22000000,1606521599999,226733.09533400,5817,112404.59000000,115052.53181100,0
2020-11-28,1.00620000,1.09300000,0.99700000,1.02960000,226861.07000000,1606607999999,236316.78061400,5894,116566.25000000,121285.23566700,0
2020-11-29,1.02230000,1.19730000,1.01550000,1.18960000,107342.91000000,1606694399999,114860.46442300,5834,58235.85000000,62482.66221500,0
2020-11-30,1.18960000,1.19570000,1.08110000,1.13180000,75596.14000000,1606780799999,86526.26217300,4567,35122.89000000,40236.77549600,0
2020-12-01,1.13160000,1.29570000,1.09680000,1.18320000,137891.10000000,1606867199999,163567.33536600,6217,55507.74000000,66119.64719800,0
2020-12-02,1.18400000,1.32160000,1.14720000,1.23420000,125343.31000000,1606953599999,155574.48159300,5966,64743.19000000,80584.71441700,0
2020-12-03,1.23430000,1.36040000,1.20320000,1.24760000,209588.92000000,1607039999999,263658.58209700,6597,120122.57000000,150859.92667500,0
2020-12-04,1.24770000,1.30430000,1.01460000,1.03220000,161774.23000000,1607126399999,187681.48061200,6339,68038.27000000,79550.46935600,0
2020-12-05,1.03220000,1.19410000,1.00000000,1.06180000,127445.50000000,1607212799999,136060.36010800,6207,55361.93000000,59165.32326300,0
2020-12-06,1.06180000,1.12000000,1.01380000,1.02840000,168985.74000000,1607299199999,178147.85299400,6285,84345.88000000,89372.16783900,0
2020-12-07,1.02840000,1.11870000,1.00100000,1.08100000,152457.46000000,1607385599999,161514.67747400,6354,75599.80000000,80731.95113500,0
2020-12-08,1.08100000,1.30700000,1.03450000,1.16510000,360057.31000000,1607471999999,429470.44174800,7307,149725.42000000,178052.46949300,0
2020-12-09,1.16510000,1.20000000,1.04590000,1.13910000,188837.29000000,1607558399999,212691.22544900,6639,86435.10000000,97940.03274200,0
2020-12-10,1.13910000,1.18120000,1.06000000,1.08120000,157308.22000000,1607644799999,175549.54617700,6220,68246.89000000,76247.34891100,0
2020-12-11,1.08300000,1.09450000,0.94610000,0.96640000,172912.67000000,1607731199999,170382.13174500,6320,75011.60000000,74004.61242100,0
2020-12-12,0.96580000,1.02820000,0.96320000,0.99400000,123626.58000000,1607817599999,123529.98919400,6056,53695.49000000,53734.92228100,0
2020-12-13,0.99400000,1.02550000,0.95750000,0.99050000,167644.51000000,1607903999999,166003.84099000,6178,76623.45000000,76114.34928800,0
2020-12-14,0.99060000,0.99320000,0.95540000,0.98240000,102450.65000000,1607990399999,99560.70083800,5880,44525.86000000,43288.87414700,0
2020-12-15,0.97850000,0.99550000,0.95500000,0.97480000,134938.49000000,1608076799999,131726.96696700,6024,51599.15000000,50460.20710100,0
2020-12-16,0.97480000,1.10490000,0.96520000,0.99490000,253412.24000000,1608163199999,259010.17407800,6133,125828.04000000,129043.29946400,0
2020-12-17,0.99520000,1.05030000,0.97810000,1.01500000,166543.60000000,1608249599999,168643.40987600,6636,75999.48000000,77047.07961100,0
2020-12-18,1.01530000,1.09100000,0.98460000,1.02440000,136838.39000000,1608335999999,140657.35335500,6130,72818.45000000,74940.23017000,0
2020-12-19,1.02820000,1.20000000,0.98540000,1.02340000,301550.28000000,1608422399999,319466.24973900,7377,142277.45000000,154400.32864100,0
2020-12-20,1.02340000,1.02340000,0.91800000,0.93020000,175179.24000000,1608508799999,173028.24183800,6457,60095.96000000,59201.37660600,0
2020-12-21,0.92810000,0.97170000,0.80000000,0.86800000,148051.62000000,1608595199999,130801.12993600,4152,49286.62000000,43899.64659100,0
2020-12-22,0.86800000,0.94400000,0.84260000,0.92870000,112472.58000000,1608681599999,100499.49277700,5756,60909.56000000,54373.10414300,0
2020-12-23,0.92800000,1.07410000,0.81330000,0.83730000,207152.19000000,1608767999999,189931.70542700,7668,103175.50000000,96573.79048500,0
2020-12-24,0.83730000,0.86730000,0.78880000,0.86380000,112812.04000000,1608854399999,93975.31584100,5830,50529.55000000,42135.74764600,0
2020-12-25,0.86440000,0.89920000,0.79310000,0.81440000,114366.45000000,1608940799999,96143.76619500,5384,49195.84000000,41311.26413800,0
2020-12-26,0.81940000,1.07410000,0.77510000,0.80120000,379634.39000000,1609027199999,331409.88962800,9021,232017.92000000,201745.21974300,0
2020-12-27,0.80120000,0.85120000,0.78440000,0.80240000,147299.35000000,1609113599999,120764.54062600,6424,51033.65000000,41820.50052100,0
2020-12-28,0.80440000,0.85700000,0.80300000,0.82080000,168296.42000000,1609199999999,139409.13889600,5976,79337.47000000,65889.19004200,0
2020-12-29,0.82080000,0.85720000,0.80060000,0.82710000,127694.53000000,1609286399999,105264.15827200,6256,65559.28000000,54296.21702900,0
2020-12-30,0.82720000,0.84640000,0.78000000,0.84560000,137316.71000000,1609372799999,111707.62527700,6055,66774.59000000,54420.43836300,0
2020-12-31,0.84560000,0.86050000,0.81260000,0.84910000,98627.60000000,1609459199999,83275.41123200,6081,53301.32000000,45058.95374200,0
2021-01-01,0.84920000,0.91020000,0.83710000,0.87110000,111678.61000000,1609545599999,97583.93876300,6267,55798.56000000,48856.79315200,0
2021-01-02,0.87110000,0.92550000,0.84660000,0.87520000,147256.74000000,1609631999999,130029.61834500,6393,83283.50000000,73582.87671300,0
2021-01-03,0.87520000,0.93000000,0.86090000,0.92420000,108030.08000000,1609718399999,96617.38538700,6325,51773.46000000,46375.75740800,0
2021-01-04,0.92420000,1.07380000,0.87360000,0.98120000,151917.69000000,1609804799999,147456.68227900,6840,87955.16000000,86197.64079500,0
2021-01-05,0.98120000,1.30320000,0.88020000,0.92160000,406424.47000000,1609891199999,421031.24049000,8178,191173.04000000,202932.39003700,0
2021-01-06,0.92410000,1.00100000,0.90500000,0.94680000,386193.00000000,1609977599999,367631.18913600,8046,200078.88000000,190577.87085000,0
2021-01-07,0.94690000,0.97610000,0.84410000,0.90240000,225774.01000000,1610063999999,209661.90566900,7057,138220.59000000,129055.49204000,0
2021-01-08,0.90250000,0.91500000,0.85000000,0.90380000,167793.00000000,1610150399999,148955.58085200,6859,111886.33000000,99694.98182700,0
2021-01-09,0.90380000,0.96230000,0.87510000,0.92420000,168856.81000000,1610236799999,155099.09970900,6772,120251.74000000,110634.89078600,0
2021-01-10,0.92420000,0.98310000,0.87000000,0.91400000,245792.22000000,1610323199999,228363.62287800,7168,151612.70000000,140546.72652300,0
2021-01-11,0.91400000,0.91510000,0.78350000,0.87070000,160877.68000000,1610409599999,137930.95300000,6992,112374.68000000,96596.01962900,0
2021-01-12,0.87060000,0.90610000,0.81930000,0.89000000,203303.17000000,1610495999999,176254.12266300,6905,93873.45000000,82048.62524100,0
2021-01-13,0.89000000,0.95900000,0.86500000,0.94770000,194525.88000000,1610582399999,177928.89654400,6395,178184.26000000,162927.09226800,0
2021-01-14,0.94770000,1.00740000,0.92720000,0.99600000,151680.61000000,1610668799999,146884.83435000,6336,39266.49000000,37752.03820600,0
2021-01-15,0.99600000,1.02100000,0.93680000,1.00790000,196852.96000000,1610755199999,193358.15324000,6738,43923.96000000,43236.26014600,0
2021-01-16,1.00820000,1.10250000,0.99500000,1.04370000,193148.58000000,1610841599999,204712.05801600,7299,39812.50000000,42126.02728400,0
2021-01-17,1.04360000,1.13970000,0.98380000,1.11000000,160696.21000000,1610927999999,169385.23884200,6646,26342.46000000,27991.34853900,0
2021-01-18,1.11000000,1.18040000,1.02580000,1.18040000,212112.11000000,1611014399999,235752.40250700,6906,35134.12000000,39230.30470600,0
2021-01-19,1.18040000,1.20000000,1.09410000,1.09410000,177491.87000000,1611100799999,203810.41644100,6462,47125.24000000,53901.31738700,0
2021-01-20,1.09200000,1.25000000,1.02140000,1.23220000,197701.67000000,1611187199999,220958.31607400,7142,45116.28000000,51154.09178200,0
2021-01-21,1.23550000,1.55000000,0.91130000,0.92790000,897926.87000000,1611273599999,1024957.98619300,14163,392255.27000000,452284.23274000,0
2021-01-22,0.92790000,1.06770000,0.86020000,0.99110000,410694.08000000,1611359999999,406205.38810000,9945,129907.29000000,128945.73376300,0
2021-01-23,0.99000000,1.04200000,0.95660000,1.00430000,273261.15000000,1611446399999,274072.55244200,7417,80221.03000000,80724.51680000,0
2021-01-24,1.00400000,1.08000000,0.97710000,1.01820000,657674.60000000,1611532799999,672657.56179400,11045,478076.05000000,489408.67850600,0
2021-01-25,1.01640000,1.03500000,0.90980000,0.93300000,589175.74000000,1611619199999,586704.48794300,11071,247179.68000000,248440.30149700,0
2021-01-26,0.93320000,0.96330000,0.90560000,0.94340000,224996.00000000,1611705599999,211125.88773500,7157,55013.14000000,51740.95014400,0
2021-01-27,0.94330000,0.94380000,0.81120000,0.88160000,466311.45000000,1611791999999,408661.81685800,8534,111379.03000000,97874.01382900,0
